Date,Open,High,Low,Close,Volume
2018-01-02 00:00:00-05:00,79.49467033662245,79.66080368594021,78.91320713482894,79.32853698730469,22483800
2018-01-03 00:00:00-05:00,79.43006371112033,79.84540060730887,79.34700055686504,79.69772338867188,26061400
2018-01-04 00:00:00-05:00,79.91921845593546,80.90679384235766,79.90076232759272,80.39916229248047,21912000
2018-01-05 00:00:00-05:00,80.90679717611741,81.59901820448952,80.69451296242993,81.39596557617188,23407100
2018-01-08 00:00:00-05:00,81.40518819649246,81.75591801589472,80.85141279520647,81.4790267944336,22113000
2018-01-09 00:00:00-05:00,81.82051098390022,81.8943495691667,81.09137079807263,81.42363739013672,19484300
2018-01-10 00:00:00-05:00,81.09137791403707,81.39595682376253,80.67604815832829,81.05445861816406,18652200
2018-01-11 00:00:00-05:00,81.3405774341089,81.3405774341089,80.51914243437955,81.29443359375,17808900
2018-01-12 00:00:00-05:00,81.83897996548548,82.86346761168072,81.63592734492266,82.69733428955078,24271500
2018-01-16 00:00:00-05:00,83.15879928191953,83.79564473697708,81.22981383346234,81.54361724853516,36599700
2018-01-17 00:00:00-05:00,82.21739537911046,83.32494613707372,81.91281645609797,83.19573211669922,25621200
2018-01-18 00:00:00-05:00,82.881929305701,83.68490114699902,82.75271528430507,83.1588134765625,24159700
2018-01-19 00:00:00-05:00,83.19571943280364,83.62951231005525,82.75270201381451,83.0665054321289,36875000
2018-01-22 00:00:00-05:00,83.0665068999341,84.56170655912152,82.82653501945425,84.55247497558594,23601600
2018-01-23 00:00:00-05:00,84.82014465332031,85.18933058066813,84.48787802287086,84.82014465332031,23412800
2018-01-24 00:00:00-05:00,85.42007991907342,86.23228341163829,84.52480623931218,84.7463150024414,33277500
2018-01-25 00:00:00-05:00,85.34623214551682,86.05690924493165,84.84783220081054,85.2170181274414,26383200
2018-01-26 00:00:00-05:00,85.94617225114274,86.81375122070312,85.44777222609129,86.81375122070312,29172200
2018-01-29 00:00:00-05:00,87.8105384608767,88.09665421362322,86.49993509080653,86.68452453613281,31569900
2018-01-30 00:00:00-05:00,86.1122915799479,86.44455820924645,85.00473380174074,85.59542846679688,38635100
2018-01-31 00:00:00-05:00,86.52761859227435,88.05050608782551,86.30610986033611,87.6905517578125,48756300
2018-02-01 00:00:00-05:00,87.48748982482734,88.66887899138429,86.37070765826539,86.99832153320312,47227900
